CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
00032185-3001105,Blanco1,0.8410416666666526,-30.019583333332825,205.40398000000002,6561.0,190.0,4.1162806000000005,0.24091883,-0.17152663,-11.6771,0.38327202,6.0499997,7.1,7.35,6.32,2.94,4.69,4.59,4.7599998,5.26,7.27,7.3,5.35,5.84,1.87,1.9
00012282-2950366,Blanco1,0.3450833333333275,-29.84349999999949,67.55538,5233.0,0.0,4.5,0.0,-0.04,-10.58495,3.3242595,5.68,,7.39,6.1110000000000015,2.95,5.26,5.16,4.137,5.39,,,5.08,6.44,,
00072299-3030477,Blanco1,1.845791666666636,-30.51324999999949,202.05592,5767.0,26.0,4.224686,0.0029418447999999997,-0.32933226,-6.5314502999999995,0.3641827,5.71,7.13,7.11,6.17,3.0,4.58,4.54,3.6,5.24,7.13,7.16,4.51,5.79,1.71,2.0700002
00023546-3007019,Blanco1,0.6477499999999891,-30.117194444443946,134.85101,5392.0,28.0,4.5340343,0.033481155,-0.10496951,-2.99015,0.3657486,5.96,7.37,7.34,6.38,3.25,4.83,4.84,3.9299998,5.51,7.37,7.39,4.7,6.04,1.94,2.16
00030709-3015171,Blanco1,0.7795416666666535,-30.25474999999949,134.9985,5310.0,41.0,4.5392914000000015,0.07711900000000001,-0.14128906,2.76235,0.36632267,6.04,7.36,7.27,6.35,3.15,4.79,4.77,3.9699998,5.46,7.33,7.33,4.7,6.0,2.0,1.9399998999999999
00061720-2942226,Blanco1,1.5716666666666403,-29.70627777777727,152.85037,5613.0,18.0,4.325277,0.07312410000000001,0.3676354,3.4306997999999997,0.36431652,6.65,7.9300003,7.91,6.78,3.92,5.31,5.38,4.46,6.0,7.89,7.9,5.37,6.7,2.56,2.45
00065071-3031382,Blanco1,1.7112916666666378,-30.52727777777727,83.798035,5728.0,20.0,4.310232,0.010225668,0.17844614,5.50095,0.36479372,6.39,7.75,7.67,6.61,3.66,5.09,5.08,4.23,5.83,7.69,7.68,5.08,6.46,2.34,2.24
00031081-3010489,Blanco1,0.7950416666666533,-30.1802499999995,217.8204,6068.0,45.0,4.290051,0.15893707,-0.067128114,5.52855,0.39584708,6.02,7.42,7.34,6.39,2.96,4.64,4.58,4.117,5.36,7.32,7.32,4.78,5.96,1.91,1.85
00055905-2939046,Blanco1,1.4960416666666412,-29.65127777777727,334.9953,5921.0,83.0,4.4464087,0.049390699999999996,-0.004741017,5.685,0.36808735,6.0,7.4,7.31,6.39,3.17,4.8,4.7400002,3.9399998,5.55,7.46,7.44,4.72,6.0,2.12,2.17
00043317-2938281,Blanco1,1.1382083333333142,-29.641138888888374,309.2374,6393.0,11.0,4.48804,0.0041963863,-0.062312808,5.75235,0.36534622,6.0,7.24,7.38,6.46,3.23,4.87,4.87,4.047,5.63,7.47,7.45,4.81,6.1,2.1,2.3600001
00032061-2949227,Blanco1,0.8358749999999859,-29.82297222222172,215.73862999999997,6266.0,91.0,4.611219,0.13193844,-0.0707503,5.8549,0.36727816,6.0099998,7.2799997,7.31,6.35,3.14,4.78,4.71,4.137,5.56,7.43,7.42,4.85,6.03,1.99,2.13
00024879-2918422,Blanco1,0.7032916666666548,-29.311722222221732,111.58263999999998,5530.0,59.0,4.421275,0.034639567,-0.045923926,5.9703503,0.36569053,6.0499997,7.5499997,7.35,6.4700003,3.22,4.89,4.85,4.03,5.53,7.44,7.36,4.81,6.13,2.12,2.22
00045884-3009416,Blanco1,1.2451666666666457,-30.16155555555504,245.778,6024.0,44.0,4.3764085999999995,0.049390394000000004,-0.024971217,6.2098,0.37460858,6.01,7.41,7.27,6.2810000000000015,2.95,4.8,4.65,4.03,5.42,7.42,7.4,5.1,5.97,1.99,2.0800002
00055472-3006258,Blanco1,1.4779999999999751,-30.10716666666616,144.48091000000005,5697.0,40.0,4.5945230000000015,0.06908638,0.027001478,6.30165,0.36614640000000004,6.0499997,7.5299997,7.39,6.46,3.3300002,4.96,4.93,4.13,5.52,7.48,7.41,4.85,6.11,2.09,2.15
00050824-3029421,Blanco1,1.2843333333333116,-30.495027777777253,182.90747,5748.0,29.0,4.471451,0.050277025,-0.007630945,6.31555,0.36526567,6.06,7.5,7.41,6.51,3.2800002,4.95,4.85,4.14,5.59,7.47,7.41,4.79,6.15,2.1,2.25
00045864-2933477,Blanco1,1.2443333333333122,-29.563249999999503,281.30643,5943.0,69.0,4.405029,0.007070593000000002,-0.019884894,6.6604996,0.37255228,6.02,7.06,7.34,6.271,3.1100001,4.8,4.74,3.967,5.55,7.43,7.47,4.72,5.95,2.14,2.18
00030028-3003216,Blanco1,0.7511666666666539,-30.05599999999949,118.18845,5135.0,42.0,4.4102315999999995,0.059698145999999994,-0.11734669,6.7963,0.36608317,6.08,7.4,7.29,6.4700003,3.14,4.95,4.75,4.1,5.53,7.39,7.28,4.72,6.03,2.11,2.0500002
00013320-3012597,Blanco1,0.3883333333333268,-30.216583333332828,108.553696,5444.0,8.0,4.5505424,0.015665846,-0.098926544,6.8639,0.36626282,6.0299997,7.44,7.33,6.42,3.17,4.84,4.71,4.02,5.52,7.4,7.39,4.77,6.06,1.94,2.0900002
00012867-3012211,Blanco1,0.369458333333327,-30.2058611111106,236.95692000000003,6243.0,0.0,3.87,0.0,-0.21,6.9506497000000005,0.5670976,6.32,7.48,7.27,6.301,2.65,4.82,4.52,4.197,5.57,7.54,7.44,4.76,5.92,2.16,1.784
00032439-2948493,Blanco1,0.8516249999999855,-29.81369444444394,263.56937,6310.0,0.0,3.88,0.0,-0.06,7.44845,3.0527653999999997,5.76,7.47,7.25,6.061,2.8,4.94,4.56,4.3469996,5.62,,,5.05,6.06,1.98,1.064
00052902-3008321,Blanco1,1.3709166666666437,-30.142249999999482,94.50356,4927.0,25.0,4.4180875,0.043312375,-0.119404115,8.86,0.36623920000000004,6.08,7.39,7.32,6.48,3.23,5.01,4.83,4.13,5.54,7.43,7.33,4.8,6.07,2.22,2.184
11142964-7707063,Cha_I,168.6234999999971,-77.11841666666537,92.44819,5902.0,41.0,4.234929,0.05283066,0.008725616,-16.7565,0.36482462,6.0899997,7.41,7.44,6.4100003,3.4,4.87,4.81,4.07,5.6,7.44,7.47,4.87,6.21,2.12,2.0900002
11084041-7756310,Cha_I,167.16837499999718,-77.94194444444312,99.46831999999999,6430.0,0.0,3.88,0.0,-0.01,-5.1175003,0.62340343,,,,,,,,,,,,,,,
11252677-7553273,Cha_I,171.36154166666378,-75.8909166666654,158.11356,6504.0,282.0,4.196803,0.34410286,-0.024382925,-3.4160000000000004,0.3258062,6.0099998,7.2,7.41,6.4,3.15,4.85,4.69,,5.41,7.38,7.38,,6.05,1.95,1.78
11141568-7738326,Cha_I,168.56533333333047,-77.64238888888758,49.32302,7079.0,0.0,4.08,0.0,-0.15,1.4551,3.0,,,,,,,,,,,,,,,
11053303-7700120,Cha_I,166.38762499999717,-77.00333333333204,19.411686,4253.0,0.0,4.51,0.0,-0.1,10.16705,0.37760025,,,,,,,,,,,,,,,
11124268-7722230,Cha_I,168.17783333333045,-77.37305555555425,242.12392999999997,5199.0,17.0,3.8926387000000013,0.031605486,-0.13153763,14.735498999999999,0.36599752,6.1099997,7.6,7.39,6.4100003,3.21,4.96,4.6,4.17,5.55,7.33,7.32,4.67,5.99,2.01,2.17
11100704-7629377,Cha_I,167.52933333333047,-76.49380555555425,91.820274,4267.0,0.0,4.55,0.0,-0.14,14.745548999999999,0.36625487,,,7.55,,3.52,,,,5.4,7.44,8.28,4.95,6.3,2.86,
11182024-7621576,Cha_I,169.5843333333305,-76.3659999999987,61.56697,4310.0,0.0,4.53,0.0,-0.13,14.7703,0.37175632,,,7.6,,3.43,,4.82,,,7.5,8.2,4.84,6.21,3.04,2.43
11124299-7637049,Cha_I,168.17912499999716,-76.61802777777648,133.91508000000002,4553.0,9.0,4.325700299999999,0.30330038,-0.0698849,15.1997,0.37110597,6.1,,7.38,,3.45,4.86,,4.1,5.42,7.44,7.67,4.77,6.08,2.71,2.24
11045100-7625240,Cha_I,166.2124999999972,-76.42333333333204,42.9974,4346.0,0.0,4.54,0.0,-0.07,15.47515,0.4018344,6.0499997,,7.5,6.6800003,3.5,5.27,,4.43,5.53,7.58,7.91,5.08,6.45,,
11091172-7729124,Cha_I,167.29883333333055,-77.48677777777647,59.94559,3910.0,0.0,4.62,0.0,-0.15,15.4894,0.36817503,,,,,,,,,,,,,,,
11022491-7733357,Cha_I,165.60379166666388,-77.55991666666534,113.43172,4544.0,0.0,4.51,0.0,-0.07,15.567599,0.37715295,,,,,,,,,,,,,,,
11064510-7727023,Cha_I,166.68791666666388,-77.45063888888758,16.256773000000006,4291.0,0.0,4.55,0.0,-0.09,15.5866995,0.5042135999999999,,,,,,,,,,,,,,,
11091769-7627578,Cha_I,167.3237083333305,-76.46605555555429,89.49883,4592.0,108.0,4.2343807,0.54437506,-0.16725410000000002,15.78205,0.3805853,6.18,,7.29,6.6,3.27,5.07,4.75,4.27,5.5,7.28,7.88,4.84,6.12,2.77,2.0500002
10590108-7722407,Cha_I,164.75449999999722,-77.3779722222209,40.393764000000004,4155.0,0.0,4.6,0.0,-0.18,16.66155,0.37702584,,,,,,,,,,,,,,,
11291261-7546263,Cha_I,172.3025416666637,-75.77397222222095,62.40323000000001,4826.0,0.0,4.5,0.0,-0.06,17.441801,0.45242456,,,,,,,,,,,,,,,
11114632-7620092,Cha_I,167.9429999999972,-76.3358888888876,213.67662,4781.0,0.0,4.48,0.0,-0.07,17.781101,0.4348322,,,,,,,,,,,,,,,
11075588-7727257,Cha_I,166.98283333333055,-77.45713888888756,61.87088000000001,4640.0,0.0,4.299021700000001,0.33921993,-0.15469141,18.22525,0.36879120000000004,6.06,,7.33,6.25,3.44,,,4.06,5.26,7.28,7.45,4.82,6.05,2.64,
08392060-5234475,IC2391,129.83583333333115,-52.579861111110226,402.16092000000003,6526.0,288.0,3.706177,0.28143176,-0.014741023999999997,0.08984999,0.39342254,6.0299997,7.52,7.38,6.39,3.41,4.78,4.82,4.367,5.36,7.33,7.53,4.85,5.97,2.37,2.1200001
08404853-5248071,IC2391,130.20220833333113,-52.801972222221316,384.82605,10000.0,750.0,3.9641976000000003,0.3,0.0,4.13025,3.0431867,,,,,,,,,,,,,,,
08432928-5241284,IC2391,130.87199999999777,-52.69122222222133,51.41669,5199.0,0.0,4.51,0.0,-0.08,9.688649,4.2426405,,,,,,,,,,,,,,,
08421230-5306038,IC2391,130.5512499999978,-53.10105555555467,71.64891,6239.0,0.0,3.98,0.0,-0.09,10.8236,3.0,5.31,,,,2.29,5.19,,,,6.72,6.66,4.6,,2.34,
08371059-5315334,IC2391,129.29412499999782,-53.25927777777689,235.87642999999997,9191.0,750.0,3.9470602999999995,0.3,0.1,13.8505,0.31176302,,,,,,,,,,,,,,,
08440521-5253171,IC2391,131.02170833333113,-52.88808333333243,365.19965,5806.0,16.0,4.342871700000001,0.07039986,0.031035375,14.02665,0.3834417,6.2,7.44,7.4,6.51,3.27,4.88,4.63,4.02,5.59,7.46,7.5,4.76,6.08,2.08,2.23
08400303-5351064,IC2391,130.0126249999978,-53.85177777777688,366.3423,7225.0,0.0,4.01,0.0,-0.14,14.9431,3.0,,,,,,,,,,,,,,,
08365498-5308342,IC2391,129.22908333333112,-53.142833333332426,226.54237,5381.0,55.0,4.4969225,0.059669312,-0.085386954,15.226199,0.36589244,6.0299997,7.3199997,7.35,6.42,3.21,4.83,4.8,4.02,5.49,7.37,7.43,4.64,6.01,2.06,2.13
08400624-5338069,IC2391,130.0259999999978,-53.635249999999104,91.01978000000001,5810.0,0.0,4.35,0.0,-0.02,15.33625,3.057759,5.99,7.32,7.47,6.291,3.49,5.12,5.78,4.3069997,5.92,7.74,8.03,5.2,6.19,2.01,
08443402-5244022,IC2391,131.14174999999778,-52.73394444444354,14.496773000000001,4340.0,0.0,4.54,0.0,-0.1,16.656952,0.38889936,6.26,,,6.441,,4.96,,4.7269998,5.86,7.58,,4.91,6.78,,
08420996-5258038,IC2391,130.5414999999978,-52.967722222221354,137.83723,9749.0,750.0,4.0021505,0.2,-0.2,18.72,0.39310858,,,,,,,,,,,,,,,
08443450-5255325,IC2391,131.1437499999978,-52.92569444444355,164.61671,5153.0,15.0,4.355585,0.06166996,0.16601038,19.571701,0.365224,6.48,7.77,7.69,6.6600003,3.6000001000000004,5.18,5.14,4.44,5.84,7.66,7.68,5.13,6.47,2.3,2.18
08382373-5257322,IC2391,129.59887499999778,-52.95894444444354,23.03006,4720.0,48.0,4.300382599999999,0.35837555,-0.10816053,19.945,0.37598562,6.48,7.13,7.42,6.431,3.25,4.89,4.88,4.207,5.86,7.43,7.67,4.89,6.1,,1.84
08394304-5257510,IC2391,129.9293333333311,-52.96416666666578,48.18653,6734.0,0.0,4.09,0.0,-0.05,22.4671,3.0,6.09,7.79,7.89,7.271,2.31,6.11,5.26,,6.34,8.17,7.43,,7.17,,
08423473-5231356,IC2391,130.64470833333112,-52.52655555555466,218.49032999999997,6454.0,0.0,3.92,0.0,0.02,24.0193,0.32120433,,,,,,,,,,,,,,,
08354551-5315242,IC2391,128.9396249999978,-53.2567222222213,167.185,4665.0,0.0,4.5,0.0,-0.07,44.92,0.24360333,,,,,,,,,,6.72,8.62,,,,
08424965-5246269,IC2391,130.70687499999778,-52.774138888888,328.83612,6106.0,0.0,4.19,0.0,0.19,45.4142,0.45010167,6.54,7.71,7.6,6.521,3.33,5.11,5.13,4.407,5.8,7.59,7.58,5.15,6.3,2.25,1.824
08393574-5343310,IC2391,129.89891666666452,-53.72527777777688,26.247147,5660.0,64.0,4.082091999999999,0.21034679999999997,0.025259001,50.748999999999995,0.3695942,6.17,7.9300003,7.57,6.56,3.3,5.17,5.04,4.16,6.03,7.57,7.54,5.23,6.43,2.36,1.8440001
08414659-5303449,IC2391,130.4441249999978,-53.062472222221324,275.98123,7600.0,750.0,4.4,0.2,-0.5,51.0056,0.32107484,5.62,6.46,7.12,5.851,3.15,5.42,5.23,4.817,5.89,,,5.36,6.26,2.93,2.004
10463922-6407079,IC2602,161.66341666666398,-64.11886111111004,116.6632,6252.0,0.0,3.86,0.0,0.12,-10.6399,3.09954,6.03,7.83,7.52,6.181,3.01,5.21,5.62,4.7869997,5.72,,,5.35,6.66,2.35,
10481093-6513390,IC2602,162.04554166666392,-65.2274999999989,167.70412,6863.0,0.0,3.98,0.0,-0.05,-9.9257,0.88765323,5.25,7.01,7.24,5.651,3.0,5.69,4.77,5.117,5.62,,,5.43,6.27,2.15,1.1840000000000002
10435795-6416421,IC2602,160.9914583333306,-64.27836111111002,39.422256,6208.0,0.0,3.88,0.0,-0.34,-4.34655,0.3719583,5.93,7.5,7.19,6.191,2.89,5.4,4.89,4.627,5.7,7.37,7.21,5.26,5.99,2.08,2.224
10425084-6400148,IC2602,160.7118333333306,-64.00411111111005,121.70983000000001,5670.0,11.0,3.994155,0.051304235999999996,-0.2814879,-3.0087,0.3644598,5.96,7.34,7.33,6.38,3.22,4.86,4.84,3.9499998,5.41,7.2,7.14,4.77,5.97,1.63,1.75
10374707-6335210,IC2602,159.44612499999732,-63.58916666666559,161.19458,6136.0,0.0,3.86,0.0,-0.02,-2.1106,0.52388126,6.14,7.4,7.54,6.421,3.19,4.97,5.13,4.3069997,5.69,7.68,7.94,5.01,6.18,2.46,2.464
10474712-6434113,IC2602,161.94633333333059,-64.56980555555448,133.14833000000002,6119.0,18.0,4.2054839999999984,0.04443559,0.114858426,-1.9823501000000001,0.36518398,6.23,7.54,7.57,6.53,3.5,5.0,4.98,4.17,5.65,7.53,7.58,4.97,6.3,2.18,2.1000001
10484720-6403081,IC2602,162.1966666666639,-64.05224999999889,210.75449,6442.0,195.0,3.9991732000000004,0.17854677,-0.014382913,-1.38395,0.36815777,6.0,7.57,7.3,6.35,3.06,4.76,4.77,4.107,5.42,7.43,7.48,4.85,6.01,2.0,2.0900002
10440835-6401440,IC2602,161.03479166666398,-64.02888888888779,132.43596000000002,7231.0,750.0,3.6481480000000004,0.45,0.0,0.62,0.42577687,5.34,7.02,7.14,5.681,2.74,5.41,4.42,5.2869997,5.76,,,5.72,6.23,2.11,0.8440000000000001
10435375-6407514,IC2602,160.9739583333306,-64.13094444444336,70.42251999999998,7094.0,0.0,4.12,0.0,-0.13,1.5174,0.33274847,,6.91,6.89,5.561,2.89,5.19,4.29,5.3469996,5.73,,,6.13,6.29,1.43,0.644
10302515-6333239,IC2602,157.60479166666397,-63.556638888887825,313.56958,6534.0,500.0,3.7510288,0.3,0.0,2.4648,3.028435,5.71,7.0,7.2,5.8710002999999995,2.45,4.73,4.44,4.5169997,5.54,,,5.08,6.06,1.97,0.904
10415238-6458322,IC2602,160.4682499999973,-64.97561111111,221.85902000000002,6464.0,64.0,3.7439803999999994,0.11925621,-0.18062894,3.5698,0.37115625,5.89,7.0499997,7.16,6.2200003,3.0500002,4.73,4.59,4.167,5.21,7.22,7.29,4.82,5.89,1.88,1.9799999
10433789-6544597,IC2602,160.90787499999732,-65.74991666666554,260.99893,7092.0,0.0,4.03,0.0,-0.14,6.1326,3.0050103999999997,5.15,6.41,6.95,5.3610000000000015,2.46,5.09,4.52,5.007,5.48,,,5.65,5.92,1.83,0.064
10423830-6408320,IC2602,160.6595833333306,-64.14222222222115,108.37765,6305.0,0.0,3.97,0.0,0.01,6.4163,3.0,5.42,7.11,,5.1110000000000015,3.68,5.04,3.85,,6.64,,,5.08,5.51,,
10341190-6410471,IC2602,158.54958333333065,-64.17974999999889,195.155,7141.0,0.0,4.04,0.0,-0.13,6.57366,0.31579188,6.62,7.08,7.43,6.261,2.67,5.84,5.14,,6.5,7.69,7.63,,7.0,3.49,
10381451-6346197,IC2602,159.56045833333064,-63.772138888887795,241.27896,7082.0,0.0,4.12,0.0,-0.13,7.14655,3.005007,,,,,,,,,,,,,,,
10345826-6412377,IC2602,158.7427499999973,-64.21047222222114,410.99933,6750.0,500.0,3.6748972,0.45,0.0,9.19375,0.5297417,5.78,7.24,7.16,6.1610002999999995,2.94,5.34,4.81,4.5569997,5.59,7.45,7.61,5.47,6.13,2.56,2.0440001
10424171-6421047,IC2602,160.67379166666396,-64.35130555555446,224.95507999999998,5814.0,0.0,4.35,0.0,0.01,15.0513,3.0049975,,,,,,,,,,6.33,7.0699997,,,,
10334181-6413457,IC2602,158.42420833333063,-64.22936111111001,220.81197999999998,5291.0,31.0,4.1666164,0.061840099999999995,-0.12547274,17.023651,0.36529875,6.1099997,7.4,7.29,6.42,3.13,4.85,4.7200003,4.01,5.48,7.32,7.29,4.62,5.96,2.03,2.154
10381766-6408065,IC2602,159.57358333333062,-64.1351388888878,209.00922,5814.0,0.0,4.39,0.0,0.05,17.5126,0.42751363,6.09,7.54,7.51,6.561,3.2,4.95,4.93,4.147,5.7,7.53,7.63,4.74,6.14,2.4,2.6439999999999997
10440681-6359351,IC2602,161.02837499999728,-63.99308333333225,148.06096000000005,5771.0,18.0,4.4318395,0.05640907,0.015719168000000002,17.577051,0.3686363,5.99,7.44,7.26,6.38,3.1100001,4.84,4.71,4.06,5.5,7.48,7.41,4.78,6.01,2.06,2.16
10442256-6415301,IC2602,161.09399999999727,-64.25836111111002,172.56087,5847.0,31.0,4.4992595,0.08972804,0.05011511,17.630352,0.36720246,6.0299997,7.46,7.38,6.4700003,3.26,4.88,4.87,4.17,5.55,7.5,7.44,4.97,6.11,2.14,2.1100001
10462898-6407577,IC2602,161.62074999999726,-64.13269444444335,195.58275,6271.0,0.0,3.94,0.0,-0.02,17.786951000000006,0.7948069000000001,6.43,7.53,7.32,6.271,2.92,5.05,4.7,4.2669997,5.56,7.63,7.66,5.0,6.14,2.33,1.9340000000000002
10474139-6417057,IC2602,161.92245833333058,-64.28491666666557,26.410925,4169.0,0.0,4.54,0.0,-0.16,17.952751,0.37496024,6.17,7.44,7.72,6.011,3.37,4.78,5.14,4.03,5.71,7.55,8.87,5.02,6.26,,
10494839-6446284,IC2602,162.45162499999725,-64.77455555555447,172.42825,5321.0,115.0,4.357382,0.2586213,-0.12267278,18.015951,0.37469759999999996,6.02,7.2,7.22,6.301,3.0800002,4.79,4.67,3.87,5.47,7.25,7.46,4.56,5.83,1.92,1.994
10495685-6348191,IC2602,162.48687499999727,-63.80530555555447,86.78728000000002,4697.0,79.0,4.4357190000000015,0.035316482,-0.054741005999999995,18.07295,0.39818957,6.12,7.68,7.41,6.4700003,3.25,5.05,4.54,4.27,5.43,7.43,7.59,4.87,6.15,2.6,2.46
10465181-6334157,IC2602,161.71587499999725,-63.57102777777669,151.47773999999995,4585.0,32.0,4.5023894,0.13630789999999998,-0.09150654,18.1852,0.36844736,6.21,7.43,7.46,6.62,3.5400002,5.1,4.93,4.16,5.54,7.5,7.66,4.83,6.19,2.65,2.434
10522362-6332566,IC2602,163.09841666666387,-63.549055555554474,200.92343,6173.0,35.0,4.0901318,0.05027981,0.13505243,18.759901,0.36543638,6.3599997,7.62,7.6,6.58,3.5500002,5.02,5.05,4.15,5.65,7.58,7.61,4.98,6.34,2.12,2.17
10284372-6435392,IC2602,157.18216666666402,-64.59422222222112,302.38855,6706.0,209.0,4.327915,0.22243781,0.0625072,18.9768,0.36906009999999995,6.08,7.43,7.38,6.4700003,3.21,4.8,4.82,4.217,5.51,7.44,7.55,4.91,6.06,2.06,2.19
10461480-6402570,IC2602,161.56166666666397,-64.04916666666558,28.8672,5796.0,0.0,4.38,0.0,0.07,19.00745,0.6568236,,7.56,7.75,6.7010000000000005,3.63,5.41,5.11,4.697,6.19,7.92,8.12,5.35,6.7,2.44,
10481856-6409537,IC2602,162.07733333333059,-64.16491666666558,151.54692,5782.0,15.0,4.39,0.0,0.0041315663,19.149101,0.36946636,6.0099998,7.23,7.21,6.401,3.21,4.81,4.69,4.09,5.51,7.42,7.38,4.74,5.93,2.01,2.0700002
10452826-6413450,IC2602,161.36774999999724,-64.22916666666558,292.97638,6426.0,0.0,4.02,0.0,-0.09,19.7565,3.0,,,,,,,,,,,,,,,
10435700-6447397,IC2602,160.98749999999728,-64.79436111111,156.1447,6067.0,0.0,3.79,0.0,-0.04,22.043152,3.0243967,6.26,7.33,7.29,6.191,3.1,5.11,5.03,4.2469997,5.57,,,4.92,6.03,2.32,2.5540001
10521047-6342542,IC2602,163.04362499999726,-63.71505555555446,171.86635,6054.0,20.0,4.017083,0.04040786,0.32899186,22.39125,0.36439228,6.6299996,7.8500004,7.81,6.8,3.8400002,5.23,5.26,4.41,5.95,7.84,7.84,5.25,6.66,2.36,2.3700001
10472547-6331564,IC2602,161.85612499999732,-63.53233333333226,152.18916000000004,5048.0,14.0,3.6522431000000006,0.05159079,0.109910555,24.359652,0.36453098,6.37,7.75,7.65,6.56,3.64,5.1,5.1,4.31,5.7,7.59,7.59,5.12,6.42,2.22,2.14
10445962-6502191,IC2602,161.2484166666639,-65.03863888888777,147.59079,5797.0,0.0,4.39,0.0,0.06,25.35065,4.2426405,,,7.21,6.351,3.5,5.24,5.01,4.3469996,6.47,7.76,8.06,5.63,6.33,2.39,
17475820+0559576,IC4665,266.9924999999955,5.999333333333231,96.96813,5925.0,39.0,3.8921205999999997,0.052300356,0.037845045,-20.875748,0.36515382,6.21,7.59,7.53,6.51,3.47,4.88,4.9500003,4.13,5.68,7.51,7.45,4.94,6.26,2.05,2.19
17460709+0555486,IC4665,266.5295416666621,5.930166666666566,172.77791000000005,6069.0,38.0,4.371008,0.021363682999999998,0.09559351,-16.850498,0.36592942,6.22,7.56,7.43,6.64,3.4,5.02,4.98,4.16,5.7,7.57,7.58,4.84,6.22,2.24,2.3600001
17444099+0541558,IC4665,266.1707916666621,5.698833333333237,121.56495,7053.0,0.0,4.12,0.0,-0.12,-16.82515,4.2426405,6.27,7.2,7.89,6.271,3.31,5.49,5.0,4.697,,7.72,7.55,,6.65,3.01,
17455598+0602542,IC4665,266.48324999999556,6.048388888888786,113.704994,5632.0,129.0,4.3284736,0.07736865400000001,0.025308577000000002,-14.68985,0.40378067,6.25,7.23,7.42,6.52,3.21,4.98,4.62,4.06,5.66,7.45,7.44,4.75,6.04,2.14,2.0900002
17463149+0605280,IC4665,266.6312083333288,6.091111111111008,163.87718,6044.0,0.0,4.2,0.0,0.02,-14.575,3.0315802000000005,6.08,7.44,7.44,6.331,2.92,4.96,4.71,4.257,5.69,7.69,7.56,4.96,6.1,2.47,2.154
17473252+0552316,IC4665,266.88549999999543,5.875444444444344,143.54121,6177.0,12.0,4.220554,0.035949897,0.120518014,-14.22015,0.36498833,6.2799997,7.62,7.56,6.59,3.51,5.0,5.04,4.2999997,5.7,7.58,7.57,5.09,6.37,2.13,2.19
17443565+0557208,IC4665,266.14854166666214,5.955777777777678,92.725815,6114.0,35.0,3.8146799,0.04407272,-0.31051737,-14.141601000000001,0.3655965,5.91,7.29,7.13,6.27,3.0400002,4.68,4.57,3.937,5.27,7.16,7.14,4.82,5.9,1.66,1.87
17462473+0517214,IC4665,266.6030416666622,5.289277777777689,96.7237,5960.0,0.0,4.37,0.0,0.0,-13.693999,0.7002609000000001,6.37,7.76,7.56,6.541,3.2,5.17,5.16,4.277,5.76,7.65,7.6,4.9,6.21,2.37,2.474
17442695+0554052,IC4665,266.11229166666226,5.901444444444343,81.6987,5224.0,0.0,4.51,0.0,-0.07,-13.689401,0.42051175,6.31,7.62,7.66,6.691,3.35,5.06,5.09,4.167,5.72,7.57,7.93,4.82,6.23,2.81,2.614
17480498+0548421,IC4665,267.0207499999956,5.811694444444346,90.55006999999999,5239.0,0.0,4.52,0.0,-0.07,-13.60685,0.6552125,5.97,7.33,7.43,6.461,3.21,5.09,4.87,4.217,5.75,7.64,7.91,4.78,6.17,2.64,
17473331+0531460,IC4665,266.88879166666214,5.529444444444351,125.9663,5781.0,0.0,4.38,0.0,0.11,-13.60085,0.6557433000000001,6.57,7.79,7.64,6.901,3.28,5.33,5.22,4.457,5.91,7.78,7.72,5.0,6.36,2.71,2.7039999999999997
17445810+0551329,IC4665,266.2420833333288,5.859138888888791,91.36486,5430.0,115.0,4.442871599999998,0.07039983,-0.034280844,-13.20185,0.36763096,6.0299997,7.31,7.29,6.4100003,3.24,4.8,4.8,3.9399998,5.56,7.41,7.53,4.71,6.03,2.07,2.1200001
17471544+0556358,IC4665,266.8143333333288,5.943277777777679,109.62919,5727.0,0.0,4.41,0.0,0.06,-13.1573,3.005061,,,7.172209,,,,,,,6.6699996,7.0,5.0340667,6.5141206,,
17442711+0547196,IC4665,266.11295833332883,5.78877777777768,78.09827,5505.0,64.0,4.4184732,0.077368334,-0.029539667000000002,-13.1095,0.37363407,5.95,7.39,7.29,6.2410000000000005,3.02,4.83,4.54,3.9299998,5.58,7.38,7.47,4.76,5.96,2.08,2.1100001
17453881+0536232,IC4665,266.4117083333289,5.6064444444443495,195.63974,6247.0,0.0,3.94,0.0,-0.02,-13.08885,3.0257547000000002,6.46,7.56,7.38,6.291,2.88,4.91,4.66,4.2269998,5.71,7.61,7.45,4.99,6.05,2.25,1.8640001
17451940+0547401,IC4665,266.3308333333288,5.794472222222124,75.46309000000002,5283.0,70.0,4.3845105,0.2644101,-0.07988489,-12.645551,0.3723962,6.04,7.33,7.23,6.2810000000000015,2.98,4.79,4.7400002,3.9199998,5.37,7.36,7.47,4.64,5.93,2.19,2.0800002
17452508+0551388,IC4665,266.3544999999955,5.860777777777679,76.88325,5340.0,153.0,4.4453087,0.13224773,-0.059884883,-12.37235,0.37222543,6.09,7.12,7.31,6.211,3.19,4.79,4.62,3.8999998999999996,5.51,7.35,7.5,4.67,5.93,2.07,2.0400002
